03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.34
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.34
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.35
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.35
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.36
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.36
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.37
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.37
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.38
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.38
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.39
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.39
03/16-09:33:21.810000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:39544
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.42
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.42
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.45
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.45
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.46
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.46
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.47
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.47
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.48
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.48
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.51
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.51
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.52
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.52
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.53
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.53
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.54
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.54
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.55
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.55
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.56
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.56
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.57
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.57
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.58
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.58
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.59
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.59
03/16-09:33:21.840000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.60
03/16-09:33:21.840000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.60
